SEMBOL,ACKL,%FARK,SON,ALIŞ,SATIŞ,FARK,YÜKSEK,DÜŞÜK,T.ADET,T.HACİM,SAAT,G.HACIM,7GUN.ORT.HACIM,30GUN.ORT.HACIM,52HAFTA.ORT.HACIM,BUYIL.ORT.HACIM,NETFARKHACIM,HALK.ACK,IHRYUZDE,VA.IPT.VOL.AOF,VA.IPT.AL.VOL.AOF,VA.IPT.SAT.VOL.AOF,BORSA,SEKTOR,H.GRUP,ISL.TURU,XU030 DAKI AG.,XU050 DEKI AG.,XU100 DEKI AG.,XUTUM DEKI AG.,BORSASEMBOLU,G.ADET,BU.YIL.ORT.ADET,30GUN.ORT.ADET,7GUN.ORT.ADET,52HAFTA.ORT.ADET,7GUNLUK.YUKSEK,7GUNLUK.DUSUK,30GUNLUK.YUKSEK,30GUNLUK.DUSUK,BU.YIL.YÜK.,BU.YIL.DÜŞ.,52HAFTALIK.YUKSEK,52HAFTALIK.DUSUK,G.YÜKSEK,G.DÜŞÜK,5YIL.YUK.,5YIL.DUS.,7GUNLUK.F,7GUNLUK.F%,30GUNLUK.F,30GUNLUK.F%,BU.YIL.FARK.,BU.YIL.FARK%,BU.HAFTA.FARK,BU.HAFTA.FARK%,BU.AY.FARK,BU.AY.FARK%,YABANCI PAYI %,YABANCI PAYI HAFTALIK DEĞ. %,YABANCI PAYI AYLIK DEĞ. %,YABANCI PAYI YILLIK DEĞ. %,YATFONORAN,EMEKLILIKYATFONORAN,TEOESLESME FARK(%),OD.SER,N.KAR,PIY.DEG,PIY.DEG.($),PIY.DEG.(E),F/K,PD/DD,PD/EFK,FD/FAVOK,PD/EBITDA,5YILLIKGETIRI%,NETBORC
TUPRS,TUPRAS,-0.2913752913752914,171.1,171.1,171.2,-0.5,173.4,170.7,17651957,3030246206.7,18:19:01,3030246206.7,3640545908.970752,2894642275.585522,2730258115.7416224,2831511929.701,,46.49,22.07257666784568,171.749309,171.484187,172.182112,,KIMYA,,,6.670548915863037,5.7439680099487305,4.838696002960205,3.5015711784362793,,17651957,20505286.0,17403692.0,21199240.0,19610346.0,174.9,167.9,174.9,159.2,174.9,116.36073,174.9,116.36073529397864,173.4,170.7,179.37955,7.732775,2.7,1.6033254156769596,8.5,5.227552275522756,36.9685,27.561385655122024,-1.6,-0.9264620729588884,2.2,1.3025458851391356,26.069265,0.796717,0.72428024,-18.429176,6.78393,7.11937,0,1926795598.0,8986698000,329674726817.8,8030346827.423947,6873076153.513387,14.253870774618262,1.08,,5.37483370688152,6.312750867348657,1853.4360666405976,-48981433000.0
TUREX,TUREKS TURIZM,0.10845986984815618,9.23,9.23,9.24,0.01,9.57,9.13,72474257,675572950.43,18:19:01,675572950.43,1583078224.371637,1346174989.896471,581179573.4107765,858893132.2488,,39.97999954223633,,9.33514,9.2744,9.394146,,ULASTIRMA,,,,,0.08659046143293381,0.06266206502914429,,72474257,52772280.0,119381300.0,159999100.0,36581580.0,11.17,9.12,13.45,9.12,50.95,9.12,50.95,7.515,9.57,9.13,50.95,0.864,-1.74,-15.86144029170465,-1.57,-14.537037037037036,-7.26,-44.02668283808369,-0.12,-1.2834224598930482,-1.95,-17.441860465116278,2.4377043,-9.29529,-9.019129,-4.11704,0.09155,0.45452,0,1080000000.0,286806000,9968400000.0,242804809.13501823,207867667.3441696,21.779759706876472,1.61,,8.000394742305328,7.6471355004412205,,460490000.0
TURGG,TURKER PROJE GAYRIMENKUL VE YATI,9.962871287128712,888.5,888.5,0.0,80.5,888.5,768.5,367831,310655039.0,18:19:01,310655039.0,169930395.8825,101060232.89096816,26603159.1183467,30802401.85111,,23.31999969482422,,,,,,INSAAT,,,,,,0.03428475931286812,,367831,53565.1,137768.6,198401.5,47435.9,948.0,690.0,948.0,560.5,948.0,404.5,948.0,391.25,888.5,768.5,948.0,71.6,193.0,27.74982027318476,319.0,56.01404741000878,339.0,61.69244767970883,47.0,5.5852644087938215,182.0,25.76079263977353,0.529067,-38.173027,-29.589714,-88.236465,0.02941,0.00058,0,128172525.48,-11405940,113881288888.98,2773857852.086459,2374727927.8018312,1631.069734875107,61.02,,0.0,0.0,1130.6094182825484,-3720731.0
TURSG,TURKIYE SIGORTA,-1.8181818181818183,9.72,9.72,9.73,-0.18,9.96,9.63,28622388,278008594.06,18:19:01,278008594.06,167688744.3541882,181687303.48392108,235152101.7364007,215765618.33196,,18.89,0.0,9.767774,9.705305,9.818796,,SIGORTA,,,,,0.5240652561187744,0.3792451322078705,,28622388,24600782.0,18176090.0,17003310.0,29583388.0,10.2,9.63,10.7,9.45,10.7,7.5,10.7,5.6,9.96,9.63,10.7,0.435364,-0.44,-4.330708661417323,0.17,1.7801047120418847,0.555,6.055646481178397,-0.24,-2.4096385542168677,-0.17,-1.718907987866532,6.123199,-0.040225912,4.5029063,-2.6628253,4.82749,7.43798,0,10000000000.0,9334295423,97200000000.0,2367549951.1631927,2026362728.9352088,6.276852189623705,2.66,,0.0,,1401.9806210504437,0.0
UFUK,UFUK YATIRIM YONETIM VE GAYRIMENKUL,0.10362694300518134,966.0,962.0,966.0,1.0,998.0,956.0,9633,9321895.0,18:19:01,9321895.0,18432767.608499996,21922447.52460025,21437948.559772853,22316574.611808,,39.82,0.0,,,,,HOLDING,,,,,,0.3923729360103607,,9633,27498.562,20823.666,19303.0,30703.441,998.0,903.5,1194.0,903.5,1253.0,440.5,1253.0,420.25,998.0,956.0,1253.0,7.0,-24.0,-2.4242424242424248,-136.0,-12.34119782214156,386.0,66.55172413793103,16.0,1.6842105263157894,-146.0,-13.129496402877695,3.1986825,-0.20698446,-0.2751917,99.03404,0.03415,0.0,0,46846881.0,402392129,45254087046.0,1102316874.1068082,943467469.698666,286.73949326777466,21.22,,0.0,0.0,12954.054054054057,-78306115.0
ULAS,ULASLAR TUR YAT DAY TUK MALLARI,3.208137715179969,26.38,26.38,26.4,0.82,27.6,25.56,913597,24416375.82,18:19:01,24416375.82,11671993.401252983,13059777.336138478,10311674.287765091,9116507.754767,,87.16999816894531,,,,,,LOKANTAOTEL,,,,,,0.013788227923214436,,913597,351150.7,523654.3,452401.8,377112.5,27.6,24.66,27.6,23.06,33.48,20.78,37.98,19.2,27.6,25.56,37.98,2.46,1.8,7.323026851098453,2.58,10.840336134453782,-5.62,-17.5625,0.62,2.406832298136646,3.14,13.51118760757315,2.245716,1.0894593,65.194,-99.99996,0.0,0.0,0,25382175.0,44590165,669581776.5,16309304.947972484,13962561.893304858,9.483220877533387,1.6,,0.0,0.0,999.1666666666666,-158888616.0
ULKER,ULKER BISKUVI SANAYI AS,-1.349072512647555,117.0,116.9,117.0,-1.6,120.0,116.3,4698986,553132538.6,18:19:01,553132538.6,789166060.9115015,893588268.0894456,872779624.6362461,1001174945.6772,,40.92,15.158379307400889,117.797247,117.585453,118.026239,,GIDA,,,0.6957948803901672,0.5991446375846863,0.5047170519828796,0.3652435839176178,,4698986,9132858.0,7750649.5,6567950.0,7912447.5,123.4,116.3,123.4,108.7,131.23396,96.62077,147.80016529185673,92.270986096419,120.0,116.3,174.63927,12.697672,-3.2,-2.662229617304493,7.7,7.044830741079598,8.0703,7.408723240769047,-4.0,-3.3057851239669422,7.4,6.751824817518248,13.008634,2.18537,19.768772,-11.288758,3.85416,1.33009,0,369275855.0,3279913000,43205275035.0,1052411104.285348,900750367.6051326,6.137653463089078,1.2,,4.633889387480355,2.468801444883852,476.4197044888315,37890135000.0
ULUFA,ULUSAL FAKTORING,0.0,4.0,3.99,4.0,0.0,4.17,3.99,45095814,183866241.73,18:19:01,183866241.73,134142762.3565638,148852522.0796976,50833439.68624606,67716711.70701,,56.529998779296875,,,,,,FINANSAL,,,,,,0.02621941640973091,,45095814,18611310.0,38253720.0,35996860.0,14249310.0,4.17,3.55,4.27,3.5,4.27,2.842046,4.27,2.50902957622896,4.17,3.99,4.27,0.4676996,0.4,11.111111111111112,0.13,3.359173126614987,0.327693,8.92335526414322,0.41,11.420612813370472,0.06,1.5228426395939088,4.732446,31.440443,17.476343,-67.8646,6.58292,1.46493,0,540000000.0,272250000,2160000000.0,52612092.98700286,45041748.070242606,2.807816649572783,0.0,,0.0,,,
ULUSE,ULUSOY ELEKTRIK IMALAT TAAHHUT V,2.4828314844162707,194.0,193.5,194.0,4.7,200.0,189.3,356827,70009098.7,18:19:01,70009098.7,38520095.08602557,20855422.693523835,23976665.12413089,23235230.7809,,6.300000190734863,96.82874298095705,,,,,METALESYA,,,,,,0.02018478885293007,,356827,144319.1,104154.0,196385.3,145651.5,203.6,188.6,230.0,180.0,238.5,122.0,238.5,122.0,200.0,189.3,394.5,40.12,-4.2,-2.119071644803229,-32.8,-14.462081128747796,27.8,16.726835138387486,3.0,1.5706806282722514,-17.9,-8.447380840018877,0.16187917,-18.411104,-15.4512415,783.9818,0.17149,0.0,0,80000000.0,-204228800,15520000000.0,378027631.0917984,323633300.94915056,0.0,124.42,,0.0,0.0,358.19555975436936,1453512204.0
ULUUN,ULUSOY UN SANAYI VE TICARET A.S.,-2.1170610211706107,7.86,7.86,7.89,-0.17,8.13,7.86,5959549,47422404.11,18:19:01,47422404.11,55529650.48379561,64199241.089759305,48130037.97167779,39640764.926,,38.709999084472656,70.75062561035156,,,,,GIDA,,,,,,0.04983444884419441,,5959549,5854000.0,7848331.0,6882199.0,7300935.0,8.25,7.86,8.9,7.58,8.9,5.3,8.9,5.3,8.13,7.86,10.87256,1.029614,-0.05,-0.6321112515802781,0.23,3.014416775884666,1.45,22.620904836193446,-0.3,-3.6764705882352944,0.05,0.6402048655569782,3.9242148,29.545183,23.196705,223.49388,12.96307,0.00039,0,750000000.0,-314942700,5895000000.0,143587170.4436953,122926437.44170378,0.0,0.49,,2.113915930960412,3.810219213006334,664.9880726096312,-2624444235.0
UMPAS,UMPAS HOLDING AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18:19:01,0.0,0.0,0.0,877283.1610674292,0.0,,41.150001525878906,,,,,,HOLDING,,,,,,,,0,,,,93282.44,,,,,,,10.18,8.53,0.0,0.0,15.98,0.78,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,42000000.0,-1015001,390600000.0,,,0.0,0.48,0.0,,0.0,1209.8591549295772,84862421.0
UNLU,UNLU YATIRIM HOLDING,-2.1875,15.65,15.65,15.66,-0.35,16.16,15.54,3238386,51240935.55,18:19:01,51240935.55,41210475.06838246,64345783.63195239,20419810.685573913,25307144.334,,45.11000061035156,,,,,,HOLDING,,,,,,0.026827408000826836,,3238386,1596766.0,3919253.0,2582148.0,1326414.0,16.3,15.54,17.64,15.14,17.86,12.36,17.86,12.32,16.16,15.54,25.7,4.236046,-0.02,-0.1276324186343331,-1.1,-6.567164179104478,1.04,7.1184120465434635,-0.15,-0.949367088607595,-1.47,-8.586448598130842,3.252333,82.8171,-10.285522,-10.707585,34.69512,0.11809,0,175740000.0,-156181200,2750331000.0,66991051.07270212,57351720.37582334,0.0,1.08,,6.720760079869165,6.827281870404032,,-42911687.0
USAK,USAK SERAMIK,-3.3333333333333335,4.06,4.06,4.07,-0.14,4.23,4.03,97802457,400398156.06,18:19:01,400398156.06,473837911.31946605,1295504493.9204178,396598217.5293697,509448801.4424,,77.66,0.0,,,,,TASTOPRAK,,,,,,0.0830107033252716,,97802457,110287260.0,256776780.0,111812660.0,97040740.0,4.39,4.03,6.62,4.03,7.23,2.01,7.23,2.002,4.23,4.03,8.3,0.272,-0.34,-7.727272727272728,-0.67,-14.16490486257928,1.4,52.63157894736842,-0.19,-4.470588235294118,-0.65,-13.800424628450108,0.8663833,-11.495654,-12.319878,104.459816,0.07271,0.0,0,1225000000.0,119890690,4973500000.0,121146471.65011798,103687791.23426937,17.118890843191856,1.22,,20.875051922888723,15.249816539969723,1145.398773006135,1834586541.0
VAKBN,TURKIYE VAKIFLAR BANKASI TAO,-2.216252518468771,29.12,29.12,29.14,-0.66,29.84,28.84,17599507,513816086.56,18:19:01,513816086.56,659199074.2341948,535216474.44707835,690124661.8514079,720894405.168,,5.99,0.0,29.208266,29.158786,29.25251,,BANKA,,,,0.6160358786582947,0.5189461708068848,0.3755406439304352,,17599507,28738802.0,18648984.0,22421540.0,28562026.0,30.1,28.42,30.1,26.9,30.1,19.92,30.1,18.63,29.84,28.84,30.1,3.2,0.44,1.5341701534170156,0.82,2.8975265017667846,5.8,24.871355060034308,0.14,0.4830917874396136,0.3,1.040943789035392,2.5094597,1.4957868,2.6229546,29.722582,1.25334,0.95046,0,9915921522.53,30063128000,288751634736.0736,7032979548.724538,6019952035.296704,5.634538849239007,1.17,,0.0,,594.9880668257756,0.0
