symbol,date,close,volume,rsi_14,macd_26_12,macd_trigger_9,bol_upper_20_2,bol_middle_20_2,bol_lower_20_2,atr_14,adx_14
AKGRT,2001-10-19,0.02,29327920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-22,0.02,96987880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-23,0.02,433062300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-24,0.02,222686200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-25,0.02,94934540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-26,0.02,196759800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-30,0.02,87380960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-10-31,0.02,78662080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-01,0.02,187700100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-02,0.02,144272500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-05,0.02,125160700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-06,0.02,300225100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-07,0.02,170983200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGRT,2001-11-08,0.02,68438470,64.28576732581367,0.0,0.0,0.0,0.0,0.0,0.0,50.0
AKGRT,2001-11-09,0.02,287275300,59.69393313488555,0.0,0.0,0.0,0.0,0.0,0.0009790985714285716,3.2871777220568603
AKGRT,2001-11-12,0.02,67467020,62.57293422428494,0.0,0.0,0.0,0.0,0.0,0.0009619207142857142,5.822409755048043
AKGRT,2001-11-13,0.02,64893460,58.10344423710553,0.0,0.0,0.0,0.0,0.0,0.0009275664285714286,8.176553785682712
AKGRT,2001-11-14,0.02,402320100,62.43756607487379,0.0,0.0,0.0,0.0,0.0,0.0009447435714285716,10.813581651843831
AKGRT,2001-11-15,0.02,520919700,66.20277063714809,0.0,0.0,0.0,0.0,0.0,0.0009447428571428572,13.65432946636751
